date,cloud_provider,account_id,instance_id,instance_type,service_name,region,availability_zone,status,cpu_usage,memory_usage,storage_usage_gb,network_in_mb,network_out_mb,running_hours,daily_cost_usd,environment,project_name,team_name
2025-09-13,AWS,345678901234,i-f3374cebd4d3fd81b,t3.small,EKS,eu-west-1,eu-west-1b,Stopped,1.5,1.95,581.79,2.69,2.47,1.73,0.1,QA,Cloud Migration,Backend
2026-07-25,AWS,123456789012,i-2e6851cd842b530de,c5.large,ECS,us-west-2,us-west-2a,Running,27.75,63.22,853.94,1296.79,2146.86,15.63,1.33,Development,Payment Gateway,DevOps
2026-03-19,AWS,345678901234,i-9212cccf1052fda31,m5.large,Lambda,us-east-1,us-east-1b,Running,93.39,36.84,163.31,3461.86,3904.27,15.11,1.45,Production,Inventory System,Platform Engineering
2026-04-14,AWS,345678901234,i-9a7a5236bb4734865,t3.micro,Lambda,eu-west-1,eu-west-1b,Stopped,0.19,0.93,560.82,0.31,2.0,1.08,0.1,Development,Recommendation Engine,AI & ML
2026-06-15,AWS,234567890123,i-e26ede95dd42469fa,t3.micro,EC2,us-east-1,us-east-1c,Stopped,0.96,1.83,863.03,5.0,1.52,0.89,0.1,Development,Recommendation Engine,Data Engineering
2025-10-31,AWS,123456789012,i-1e2a8a3c0ed16bfe1,m5.large,S3,ap-south-1,ap-south-1a,Stopped,0.01,0.97,385.72,2.89,2.11,1.91,0.1,UAT,Analytics Platform,AI & ML
2025-10-08,AWS,234567890123,i-f03be771ac3c890be,m5.xlarge,Lambda,ap-southeast-1,ap-southeast-1a,Stopped,1.35,0.64,561.47,2.25,4.87,0.0,0.1,Development,Payment Gateway,DevOps
2026-07-21,AWS,234567890123,i-0e32684b27b95e909,m5.large,RDS,eu-west-1,eu-west-1b,Running,51.49,86.08,309.64,299.16,3914.39,9.8,0.94,Production,Payment Gateway,AI & ML
2026-06-20,AWS,345678901234,i-72eb231645ae36f2e,t3.micro,Lambda,ap-southeast-1,ap-southeast-1b,Running,27.04,51.08,37.76,3451.38,162.7,14.78,0.15,UAT,Inventory System,Data Engineering
2026-04-09,AWS,345678901234,i-6e36fc9a5138f96b1,t3.micro,ECS,us-west-2,us-west-2a,Running,52.5,21.24,554.73,4281.82,2510.32,22.15,0.22,QA,Analytics Platform,Platform Engineering
2025-10-02,AWS,234567890123,i-69611a11f5125227c,t3.medium,S3,us-west-2,us-west-2a,Running,50.83,36.28,192.52,4747.99,3173.47,8.56,0.34,QA,Payment Gateway,Platform Engineering
2025-10-23,AWS,345678901234,i-3d90f871f5c471360,m5.large,EKS,us-east-1,us-east-1b,Running,62.99,46.15,591.04,2724.39,1477.11,14.01,1.34,Development,Analytics Platform,Data Engineering
2025-09-08,AWS,123456789012,i-34cc352b6a6c37df8,t3.micro,EC2,us-east-1,us-east-1b,Stopped,1.04,1.27,63.82,2.41,2.82,0.23,0.1,UAT,Inventory System,DevOps
2025-10-31,AWS,234567890123,i-d884580ae414a19fb,t3.small,EKS,ap-southeast-1,ap-southeast-1a,Running,35.3,46.7,685.34,4934.18,3216.52,23.75,0.48,Production,Payment Gateway,Backend
2026-04-16,AWS,345678901234,i-b37da3fff65d07145,m5.large,S3,us-west-2,us-west-2a,Stopped,0.52,1.34,160.23,1.04,0.89,0.74,0.1,Production,Cloud Migration,Platform Engineering
2025-10-09,AWS,345678901234,i-b0f46cfdfdef52079,t3.micro,EKS,us-east-1,us-east-1c,Stopped,1.64,1.72,52.95,1.55,3.42,0.02,0.1,Development,Payment Gateway,QA Automation
2026-08-03,AWS,345678901234,i-80a1ea4619a12c2c8,t3.micro,EC2,eu-west-1,eu-west-1b,Running,33.1,57.79,612.37,3202.8,1214.61,9.67,0.1,UAT,Inventory System,Data Engineering
2026-05-17,AWS,345678901234,i-3a3e34fb912af3c9e,m5.xlarge,S3,us-west-2,us-west-2a,Running,88.65,47.07,168.31,3933.58,3506.02,15.38,2.95,QA,Customer360,Backend
2026-01-02,AWS,345678901234,i-27ba52ae08672b830,m5.xlarge,Lambda,ap-southeast-1,ap-southeast-1a,Stopped,0.09,1.26,195.86,0.58,3.68,1.78,0.1,Production,Payment Gateway,DevOps
2026-03-17,AWS,234567890123,i-481fb339258e4d27e,t3.small,EKS,eu-west-1,eu-west-1a,Running,56.21,31.27,892.82,259.43,4704.23,21.83,0.44,Production,Payment Gateway,Backend
2026-04-18,AWS,123456789012,i-c7c3359f3b98315ac,m5.large,EKS,ap-south-1,ap-south-1a,Stopped,1.7,0.69,897.1,4.31,2.96,1.73,0.1,QA,Analytics Platform,QA Automation
2026-02-15,AWS,345678901234,i-952eb9d8e96cf37cb,c5.large,ECS,ap-southeast-1,ap-southeast-1a,Running,78.11,53.17,889.31,819.77,3074.84,9.07,0.77,QA,Payment Gateway,DevOps
2026-06-20,AWS,234567890123,i-0e8655f24ddcdfc01,c5.large,EKS,ap-southeast-1,ap-southeast-1b,Running,71.29,62.35,87.37,119.09,2338.96,17.41,1.48,Development,Inventory System,DevOps
2026-06-18,AWS,123456789012,i-9bd8cff158c4c1ca7,t3.micro,EKS,eu-west-1,eu-west-1a,Stopped,0.99,0.88,355.34,4.61,1.24,0.09,0.1,QA,Customer360,Platform Engineering
2026-02-11,AWS,234567890123,i-f248e227f291a0fef,t3.medium,RDS,us-west-2,us-west-2a,Stopped,1.06,0.75,143.37,1.39,1.72,1.96,0.1,Development,Inventory System,QA Automation
2026-03-24,AWS,234567890123,i-eacf44eee4a2dc7ca,t3.medium,ECS,us-east-1,us-east-1a,Stopped,0.38,0.69,215.33,0.36,0.05,0.92,0.1,QA,Cloud Migration,Platform Engineering
2026-07-15,AWS,123456789012,i-ac7d643568ed81fb3,t3.medium,S3,us-west-2,us-west-2a,Stopped,1.4,1.53,496.44,4.51,3.35,0.92,0.1,Development,Analytics Platform,DevOps
2025-12-14,AWS,234567890123,i-317490a39ef0a6668,c5.large,RDS,ap-southeast-1,ap-southeast-1a,Stopped,1.37,0.83,695.56,3.57,4.91,1.53,0.1,Development,Inventory System,DevOps
